Xbox 360 , 450707 , 106449828 , 236.18 , 2010-06-01 00:00:00
Game Boy Advance , 4 , 237 , 56.94 , 2011-06-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-06-01 00:00:00
GameCube , 10 , 315 , 31.5 , 2011-06-01 00:00:00
Nintendo 3DS , 143649 , 35784510 , 249.11 , 2011-06-01 00:00:00
Nintendo DS , 388543 , 50879537 , 130.95 , 2011-06-01 00:00:00
PlayStation 2 , 10635 , 1047466 , 98.49 , 2011-06-01 00:00:00
PlayStation 3 , 277810 , 84876043 , 305.52 , 2011-06-01 00:00:00
PlayStation Portable , 122708 , 17518275 , 142.76 , 2011-06-01 00:00:00
Wii , 272279 , 40859294 , 150.06 , 2011-06-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-06-01 00:00:00
Xbox 360 , 506216 , 134270876 , 265.24 , 2011-06-01 00:00:00
Dreamcast , 54 , 4668 , 86.97 , 2010-07-01 00:00:00
Game Boy Advance , 12 , 692 , 57.86 , 2010-07-01 00:00:00
GameCube , 32 , 1585 , 49.95 , 2010-07-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-07-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-07-01 00:00:00
Nintendo DS , 399013 , 64011847 , 160.43 , 2010-07-01 00:00:00
PlayStation , 1 , 24 , 19.99 , 2010-07-01 00:00:00
PlayStation 2 , 24411 , 2414397 , 98.9 , 2010-07-01 00:00:00
PlayStation 3 , 215178 , 66380440 , 308.49 , 2010-07-01 00:00:00
PlayStation Portable , 83723 , 15646384 , 186.88 , 2010-07-01 00:00:00
Wii , 336727 , 66776957 , 198.31 , 2010-07-01 00:00:00
Xbox , 1 , 49 , 40.0 , 2010-07-01 00:00:00
Xbox 360 , 443326 , 110521569 , 249.3 , 2010-07-01 00:00:00
Game Boy Advance , 2 , 149 , 64.6 , 2011-07-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-07-01 00:00:00
GameCube , 2 , 93 , 46.56 , 2011-07-01 00:00:00
Nintendo 3DS , 91727 , 22779762 , 248.34 , 2011-07-01 00:00:00
Nintendo DS , 306550 , 39463498 , 128.73 , 2011-07-01 00:00:00
PlayStation 2 , 8677 , 852869 , 98.29 , 2011-07-01 00:00:00
